,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it1,7.774663608,8.404241946,8.404241946,8.404241946,8.404241946,8.404241946,8.404241946
it2,9.24274722,9.24274722,9.24274722,9.24274722,9.24274722,9.24274722,9.24274722
it3,5.916755556,5.916755556,5.916755556,5.916755556,5.916755556,5.916755556,5.916755556
it4,9.396457294,9.795030218,9.795030218,9.795030218,10.80508036,9.795030218,9.795030218
it5,8.695770244,9.296350858,9.296350858,9.296350858,9.296350858,9.296350858,9.296350858
it6,8.548143264,9.785189324,9.785189324,9.785189324,9.785189324,9.785189324,9.785189324
it7,8.006869738,8.675419244,8.675419244,8.675419244,8.675419244,8.675419244,8.675419244
it8,6.722565886,6.722565886,8.3839528,8.169094546,8.3839528,6.722565886,8.3839528
it9,7.340884794,7.817878784,8.250587998,7.817878784,8.250587998,7.817878784,8.250587998
it10,9.329076118,9.329076118,9.588862778,9.329076118,9.588862778,9.329076118,9.588862778
it11,8.861197354,8.989628812,9.063907392,8.989628812,9.063907392,8.989628812,9.063907392
it12,9.602396656,9.820525542,10.50584797,9.820525542,10.50584797,9.820525542,10.50584797
it13,5.716381946,6.161930006,6.161930006,6.161930006,7.48236724,6.161930006,6.161930006
it14,9.692390114,9.692390114,9.795910884,9.692390114,9.795910884,9.692390114,9.795910884
it15,7.531211968,7.986050948,8.08730336,7.986050948,8.08730336,7.986050948,8.08730336
it16,9.507633426,9.507633426,10.05466162,9.507633426,10.05466162,9.507633426,10.05466162
it17,9.899582872,10.15781396,10.15781396,10.15781396,10.15781396,10.15781396,10.15781396
it18,7.67887857,8.005892644,8.005892644,8.005892644,8.005892644,8.005892644,8.005892644
it19,8.454409172,8.70343738,8.70343738,8.70343738,9.867247176,8.70343738,8.70343738
it20,6.52231521,6.914198574,7.628666688,6.914198574,7.628666688,6.914198574,7.628666688
it21,10.55780298,10.57981287,11.25435718,10.57981287,11.25435718,10.57981287,11.25435718
it22,8.772041208,8.772641524,8.772641524,8.772641524,8.772641524,8.772641524,8.772641524
it23,6.486458162,6.717931182,6.717931182,6.717931182,6.717931182,6.717931182,6.717931182
it24,9.680475974,9.680475974,9.881097564,9.680475974,9.881097564,9.680475974,9.881097564
it25,7.194024654,7.850104364,8.802981808,7.850104364,8.802981808,7.850104364,8.802981808
it26,9.071161922,9.071161922,9.310970898,9.071161922,9.310970898,9.071161922,9.310970898
it27,9.100138236,9.100138236,9.695492334,9.100138236,9.695492334,9.100138236,9.695492334
it28,8.537159788,8.537159788,8.537159788,8.537159788,8.537159788,8.537159788,8.537159788
it29,7.288063218,7.63404461,7.63404461,7.63404461,8.89847109,7.63404461,7.63404461
it30,11.1154479,11.1154479,11.1154479,11.1154479,11.1154479,11.1154479,11.1154479
it31,7.64371821,8.445033096,8.902437304,8.445033096,8.902437304,8.445033096,8.902437304
